Group,Organism,Kingdom,Phylum,Class,Order,Family,Genus,Species,Score,Hit,Accession_Number_1,Accession_Number_2,Accession_Number_3,C1,C2,C3,F1,F2,F3,D1,D2,D3,0036.1,0036.2,0036.3,1887.1,1887.2,1887.3,G1,G2,G3,R1,R2,R3,S1,S2,S3
denovo0,Bacteria; __Cyanobacteria; __; __Nostocales; __Calotrichaceae; __Dulcicalothrix; __Dulcicalothrix necridiiformans,Bacteria,__Cyanobacteria,__,__Nostocales,__Calotrichaceae,__Dulcicalothrix,__Dulcicalothrix necridiiformans,1,1,NR_164867.1,NA,NA,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8068,10511,10467
denovo622,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Micropepsales; __Micropepsaceae; __Rhizomicrobium; __Rhizomicrobium palustre,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Micropepsales,__Micropepsaceae,__Rhizomicrobium,__Rhizomicrobium palustre,1,1,NR_112186.1,NA,NA,3,1,5,3,3,2,0,2,2,5,2,2,3,3,1,0,0,0,0,0,0,0,0,0
denovo623,Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Gracilibacteraceae; __Gracilibacter; __Gracilibacter thermotolerans,Bacteria,__Firmicutes,__Clostridia,__Clostridiales,__Gracilibacteraceae,__Gracilibacter,__Gracilibacter thermotolerans,1,1,NR_115693.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,52,0,0,0,10,0,0
denovo624,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,3,2,1,0,0,1,2,0,2,3,0,1,4,1,2,0,0,0,0,0,0,0,0,0
denovo625,Bacteria; __Firmicutes; __Clostridia; __Thermoanaerobacterales; __Thermoanaerobacteraceae; __Thermanaeromonas; __Thermanaeromonas burensis,Bacteria,__Firmicutes,__Clostridia,__Thermoanaerobacterales,__Thermoanaerobacteraceae,__Thermanaeromonas,__Thermanaeromonas burensis,1,1,NR_147776.1,NA,NA,0,3,6,12,4,7,4,3,2,1,5,1,5,3,1,0,0,0,0,0,0,0,0,0
denovo626,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Methylococcales; __Methylococcaceae; __Methylococcus; __Methylococcus capsulatus,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Methylococcales,__Methylococcaceae,__Methylococcus,__Methylococcus capsulatus,1,1,NR_042183.1,NA,NA,2,3,6,10,2,3,0,5,3,4,9,6,2,1,2,0,0,0,0,0,0,0,0,0
denovo627,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,1,0,0,0,10,0,0,2,0,19,0,27,0,0,0,0,0,0,0,0,0,0,0,0
denovo628,Bacteria; __Bacteroidetes; __Saprospiria; __Saprospirales; __Haliscomenobacteraceae; __Portibacter; __Portibacter lacus,Bacteria,__Bacteroidetes,__Saprospiria,__Saprospirales,__Haliscomenobacteraceae,__Portibacter,__Portibacter lacus,1,1,NR_113569.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,13
denovo629,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermomarinilinea; __Thermomarinilinea lacunifontana,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermomarinilinea,__Thermomarinilinea lacunifontana,1,1,NR_132293.1,NA,NA,0,4,2,0,1,2,5,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
denovo630,Bacteria; __Planctomycetes; __Planctomycetia; __Planctomycetales; __Planctomycetaceae; __Planctopirus; __Planctopirus limnophila,Bacteria,__Planctomycetes,__Planctomycetia,__Planctomycetales,__Planctomycetaceae,__Planctopirus,__Planctopirus limnophila,1,1,NR_074670.1,NA,NA,2,7,2,2,3,8,5,1,4,5,1,2,1,4,2,0,0,0,0,0,0,0,0,0
denovo631,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Terrimonas; __Terrimonas terrae,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Terrimonas,__Terrimonas terrae,1,1,NR_157715.1,NA,NA,2,2,2,0,8,1,5,5,6,4,0,1,4,4,3,0,0,0,0,0,0,0,0,0
denovo632,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Hyphomicrobiaceae; __Hyphomicrobium; __Hyphomicrobium aestuarii,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Hyphomicrobiaceae,__Hyphomicrobium,__Hyphomicrobium aestuarii,1,1,NR_104954.1,NA,NA,8,11,9,24,18,13,11,4,7,11,5,5,6,8,3,0,0,0,0,0,0,0,0,0
denovo633,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,2,0,2,4,6,7,3,9,7,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0
denovo634,Bacteria; __Spirochaetes; __Spirochaetia; __Spirochaetales; __Spirochaetaceae; __Spirochaeta; __Spirochaeta aurantia,Bacteria,__Spirochaetes,__Spirochaetia,__Spirochaetales,__Spirochaetaceae,__Spirochaeta,__Spirochaeta aurantia,1,1,NR_104782.1,NA,NA,3,3,5,7,3,6,1,4,2,7,4,7,12,9,1,0,0,0,0,0,0,0,0,0
denovo635,Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobia subdivision 3; __Limisphaera; __Limisphaera ngatamarikiensis,Bacteria,__Verrucomicrobia,__Verrucomicrobiae,__Verrucomicrobiales,__Verrucomicrobia subdivision 3,__Limisphaera,__Limisphaera ngatamarikiensis,1,1,NR_134756.1,NA,NA,10,2,5,8,7,2,5,3,21,10,4,11,4,4,7,0,0,0,0,0,0,0,0,0
denovo636,Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Cryomorphaceae; __Owenweeksia; __Owenweeksia hongkongensis,Bacteria,__Bacteroidetes,__Flavobacteriia,__Flavobacteriales,__Cryomorphaceae,__Owenweeksia,__Owenweeksia hongkongensis,1,1,NR_074100.1,NA,NA,3,5,0,3,3,2,6,1,5,0,4,1,4,8,2,0,0,0,0,0,0,0,0,0
denovo637,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,8,8,0,7,6,4,4,3,8,3,0,5,8,7,5,0,0,0,0,0,0,0,0,0
denovo638,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,2,3,8,15,19,1,2,2,5,2,3,7,9,25,13,0,0,0,0,0,0,0,0,0
denovo639,Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobia subdivision 3; __Limisphaera; __Limisphaera ngatamarikiensis,Bacteria,__Verrucomicrobia,__Verrucomicrobiae,__Verrucomicrobiales,__Verrucomicrobia subdivision 3,__Limisphaera,__Limisphaera ngatamarikiensis,1,1,NR_134756.1,NA,NA,7,7,0,1,1,0,2,0,2,3,1,11,23,21,16,0,0,0,0,0,0,0,0,0
denovo640,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,5,3,0,2,3,0,9,1,0,1,2,7,9,9,19,0,0,0,0,0,0,0,0,0
denovo641,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea serpens,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea serpens,1,1,NR_108511.1,NA,NA,10,1,6,2,1,4,2,1,0,4,10,8,26,1,6,0,0,0,0,0,0,0,0,0
denovo642,Bacteria; __Bacteroidetes; __Saprospiria; __Saprospirales; __Haliscomenobacteraceae; __Phaeodactylibacter; __Phaeodactylibacter luteus,Bacteria,__Bacteroidetes,__Saprospiria,__Saprospirales,__Haliscomenobacteraceae,__Phaeodactylibacter,__Phaeodactylibacter luteus,1,1,NR_136808.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,3
denovo643,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,9,2,3,6,5,0,3,1,7,3,7,5,2,1,5,0,0,0,0,0,0,0,0,0
denovo644,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,4,5,3,2,4,4,5,4,1,2,3,7,7,6,8,0,0,0,0,0,0,0,0,0
denovo645,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Alcanivoracaceae; __Alcanivorax; __Alcanivorax pacificus,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Oceanospirillales,__Alcanivoracaceae,__Alcanivorax,__Alcanivorax pacificus,1,1,NR_115821.1,NA,NA,7,5,10,4,3,0,7,2,9,1,5,3,0,1,4,0,0,0,0,0,0,0,0,0
denovo646,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,2,3,1,1,1,7,6,2,3,8,6,5,2,3,0,0,0,0,0,0,0,0,0,0
denovo647,Bacteria; __Spirochaetes; __Spirochaetia; __Spirochaetales; __Spirochaetaceae; __Spirochaeta; __Spirochaeta aurantia,Bacteria,__Spirochaetes,__Spirochaetia,__Spirochaetales,__Spirochaetaceae,__Spirochaeta,__Spirochaeta aurantia,1,1,NR_104782.1,NA,NA,1,3,0,1,0,1,2,12,0,3,2,15,8,2,4,0,0,0,0,0,0,0,0,0
denovo648,Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Clostridiaceae; __Caloramator; __Caloramator proteoclasticus,Bacteria,__Firmicutes,__Clostridia,__Clostridiales,__Clostridiaceae,__Caloramator,__Caloramator proteoclasticus,1,1,NR_026265.1,NA,NA,2,8,5,4,3,6,5,6,1,0,5,0,2,1,1,0,0,0,0,0,0,0,0,0
denovo649,Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Crocinitomicaceae; __Fluviicola; __Fluviicola taffensis,Bacteria,__Bacteroidetes,__Flavobacteriia,__Flavobacteriales,__Crocinitomicaceae,__Fluviicola,__Fluviicola taffensis,1,1,NR_074547.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,27
denovo650,Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Lentimicrobiaceae; __Lentimicrobium; __Lentimicrobium saccharophilum,Bacteria,__Bacteroidetes,__Bacteroidia,__Bacteroidales,__Lentimicrobiaceae,__Lentimicrobium,__Lentimicrobium saccharophilum,1,1,NR_149795.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,22
denovo651,Bacteria; __Actinobacteria; __Actinobacteria; __Micromonosporales; __Micromonosporaceae; __Micromonospora; __Micromonospora noduli,Bacteria,__Actinobacteria,__Actinobacteria,__Micromonosporales,__Micromonosporaceae,__Micromonospora,__Micromonospora noduli,1,1,NR_151945.1,NA,NA,2,0,0,0,2,1,0,1,1,3,4,1,6,3,1,0,0,0,0,0,0,0,0,0
denovo652,Bacteria; __Firmicutes; __Tissierellia; __; __; __Sedimentibacter; __Sedimentibacter hongkongensis,Bacteria,__Firmicutes,__Tissierellia,__,__,__Sedimentibacter,__Sedimentibacter hongkongensis,1,1,NR_114645.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,14,0,0,0,0,0,0
denovo653,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,8,3,3,3,2,4,8,2,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0
denovo654,Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Clostridiaceae; __Caloranaerobacter; __Caloranaerobacter azorensis,Bacteria,__Firmicutes,__Clostridia,__Clostridiales,__Clostridiaceae,__Caloranaerobacter,__Caloranaerobacter azorensis,1,1,NR_028919.1,NA,NA,0,2,4,1,2,5,0,3,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0
denovo655,Bacteria; __Acidobacteria; __Vicinamibacteria; __; __Vicinamibacteraceae; __Vicinamibacter; __Vicinamibacter silvestris,Bacteria,__Acidobacteria,__Vicinamibacteria,__,__Vicinamibacteraceae,__Vicinamibacter,__Vicinamibacter silvestris,1,1,NR_151905.1,NA,NA,8,1,1,6,3,4,6,3,5,6,4,1,5,3,5,0,0,0,0,0,0,0,0,0
denovo656,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,4,2,3,9,4,4,8,1,1,9,4,4,1,6,0,0,0,0,0,0,0,0,0,0
denovo657,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Nevskiales; __Sinobacteraceae; __Panacagrimonas; __Panacagrimonas perspica,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Nevskiales,__Sinobacteraceae,__Panacagrimonas,__Panacagrimonas perspica,1,1,NR_112617.1,NA,NA,2,3,0,1,0,1,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
denovo658,Bacteria; __Proteobacteria; __Deltaproteobacteria; __Desulfovibrionales; __Desulfonatronaceae; __Desulfonatronum; __Desulfonatronum parangueonense,Bacteria,__Proteobacteria,__Deltaproteobacteria,__Desulfovibrionales,__Desulfonatronaceae,__Desulfonatronum,__Desulfonatronum parangueonense,1,1,NR_159236.1,NA,NA,6,3,8,8,13,6,9,8,8,16,4,9,3,7,4,0,0,0,0,0,0,0,0,0
denovo659,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Pseudoflavitalea; __Pseudoflavitalea rhizosphaerae,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Pseudoflavitalea,__Pseudoflavitalea rhizosphaerae,1,1,NR_152044.1,NA,NA,4,2,0,3,0,0,1,1,2,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0
denovo660,Bacteria; __Planctomycetes; __Phycisphaerae; __Phycisphaerales; __Phycisphaeraceae; __Phycisphaera; __Phycisphaera mikurensis,Bacteria,__Planctomycetes,__Phycisphaerae,__Phycisphaerales,__Phycisphaeraceae,__Phycisphaera,__Phycisphaera mikurensis,1,1,NR_074491.2,NA,NA,8,0,0,2,0,0,4,1,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0
denovo661,Bacteria; __Gemmatimonadetes; __Gemmatimonadetes; __Gemmatimonadales; __Gemmatimonadaceae; __Roseisolibacter; __Roseisolibacter agri,Bacteria,__Gemmatimonadetes,__Gemmatimonadetes,__Gemmatimonadales,__Gemmatimonadaceae,__Roseisolibacter,__Roseisolibacter agri,1,1,NR_163645.1,NA,NA,16,3,10,3,8,1,5,2,3,5,2,4,2,4,0,0,0,0,0,0,0,0,0,0
denovo662,Bacteria; __Firmicutes; __Clostridia; __Thermoanaerobacterales; __Thermoanaerobacteraceae; __Thermoanaerobacter; __Thermoanaerobacter wiegelii,Bacteria,__Firmicutes,__Clostridia,__Thermoanaerobacterales,__Thermoanaerobacteraceae,__Thermoanaerobacter,__Thermoanaerobacter wiegelii,1,1,NR_075059.1,NA,NA,2,2,2,4,8,3,3,4,2,4,1,6,0,2,1,0,0,0,0,0,0,0,0,0
denovo663,Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Cryomorphaceae; __Phaeocystidibacter; __Phaeocystidibacter marisrubri,Bacteria,__Bacteroidetes,__Flavobacteriia,__Flavobacteriales,__Cryomorphaceae,__Phaeocystidibacter,__Phaeocystidibacter marisrubri,1,1,NR_136475.1,NA,NA,0,1,3,0,1,0,3,5,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
denovo664,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __Oceanibaculum; __Oceanibaculum nanhaiense,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhodospirillales,__Rhodospirillaceae,__Oceanibaculum,__Oceanibaculum nanhaiense,1,1,NR_159190.1,NA,NA,2,2,1,1,6,2,1,2,2,2,4,0,5,2,5,0,0,0,0,0,0,0,0,0
denovo665,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Chitinophaga; __Chitinophaga barathri,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Chitinophaga,__Chitinophaga barathri,1,1,NR_145663.1,NA,NA,2,2,0,0,3,3,5,11,6,2,12,9,2,7,3,0,0,0,0,0,0,0,0,0
denovo666,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,7
denovo667,Bacteria; __Gemmatimonadetes; __Gemmatimonadetes; __Gemmatimonadales; __Gemmatimonadaceae; __Gemmatimonas; __Gemmatimonas phototrophica,Bacteria,__Gemmatimonadetes,__Gemmatimonadetes,__Gemmatimonadales,__Gemmatimonadaceae,__Gemmatimonas,__Gemmatimonas phototrophica,1,1,NR_136770.1,NA,NA,3,3,3,5,6,6,2,5,10,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0
denovo668,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,4,0,0,0,0,0,0,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
denovo669,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,1,5,3,0,0,1,1,0,2,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0
denovo670,Bacteria; __Cyanobacteria; __; __Nostocales; __Nostocaceae; __Cylindrospermum; __Cylindrospermum stagnale,Bacteria,__Cyanobacteria,__,__Nostocales,__Nostocaceae,__Cylindrospermum,__Cylindrospermum stagnale,1,1,NR_114701.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16
denovo671,Bacteria; __Proteobacteria; __Oligoflexia; __Bdellovibrionales; __Bdellovibrionaceae; __Bdellovibrio; __Bdellovibrio bacteriovorus,Bacteria,__Proteobacteria,__Oligoflexia,__Bdellovibrionales,__Bdellovibrionaceae,__Bdellovibrio,__Bdellovibrio bacteriovorus,1,1,NR_027553.1,NA,NA,2,1,0,1,3,1,1,1,3,0,3,1,1,6,4,0,0,0,0,0,0,0,0,0
denovo672,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Rhodobacter; __Rhodobacter thermarum,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhodobacterales,__Rhodobacteraceae,__Rhodobacter,__Rhodobacter thermarum,1,1,NR_164945.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,55
denovo673,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Brucellaceae; __Ochrobactrum; __Ochrobactrum ciceri,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Brucellaceae,__Ochrobactrum,__Ochrobactrum ciceri,1,1,NR_115819.1,NA,NA,3,0,3,2,1,0,0,1,1,1,0,3,3,4,3,0,0,0,0,0,0,0,0,0
denovo674,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Hyphomicrobiaceae; __Hyphomicrobium; __Hyphomicrobium facile,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Hyphomicrobiaceae,__Hyphomicrobium,__Hyphomicrobium facile,1,1,NR_027610.1,NA,NA,2,1,2,7,6,3,4,6,2,7,1,5,2,5,2,0,0,0,0,0,0,0,0,0
denovo675,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,6,12,5,3,5,2,3,2,2,5,2,3,3,5,3,0,0,0,0,0,0,0,0,0
denovo676,Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Hungateiclostridiaceae; __Hungateiclostridium; __Hungateiclostridium saccincola,Bacteria,__Firmicutes,__Clostridia,__Clostridiales,__Hungateiclostridiaceae,__Hungateiclostridium,__Hungateiclostridium saccincola,1,1,NR_152684.1,NA,NA,0,2,3,10,3,6,0,1,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
denovo677,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Terrimonas; __Terrimonas lutea,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Terrimonas,__Terrimonas lutea,1,1,NR_041250.1,NA,NA,3,0,6,1,0,6,1,10,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0
denovo678,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,1,0,1,1,2,2,2,1,6,0,2,1,1,1,0,0,0,0,0,0,0,0,0
denovo679,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,10,5,6,6,3,5,7,2,13,7,2,1,0,1,1,0,0,0,0,0,0,0,0,0
denovo680,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Runella; __Runella palustris,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Runella,__Runella palustris,1,1,NR_156150.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,3
denovo681,Bacteria; __Planctomycetes; __Planctomycetia; __Planctomycetales; __Planctomycetaceae; __Planctopirus; __Planctopirus limnophila,Bacteria,__Planctomycetes,__Planctomycetia,__Planctomycetales,__Planctomycetaceae,__Planctopirus,__Planctopirus limnophila,1,1,NR_074670.1,NA,NA,2,1,2,11,5,4,5,5,2,5,0,1,2,3,2,0,0,0,0,0,0,0,0,0
denovo682,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Thermoactinomycetaceae; __Novibacillus; __Novibacillus thermophilus,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Thermoactinomycetaceae,__Novibacillus,__Novibacillus thermophilus,1,1,NR_136797.1,NA,NA,0,6,2,6,1,4,5,1,3,1,2,2,0,3,1,0,0,0,0,0,0,0,0,0
denovo683,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Bacillaceae; __Lysinibacillus; __Lysinibacillus boronitolerans,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Bacillaceae,__Lysinibacillus,__Lysinibacillus boronitolerans,1,1,NR_114207.1,NA,NA,0,0,4,1,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,10,23
denovo684,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Hyphomicrobiaceae; __Rhodoplanes; __Rhodoplanes tepidicaeni,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Hyphomicrobiaceae,__Rhodoplanes,__Rhodoplanes tepidicaeni,1,1,NR_159238.1,NA,NA,0,4,1,0,3,0,0,2,2,4,1,3,1,3,2,0,0,0,0,0,0,0,0,0
denovo685,Bacteria; __Gemmatimonadetes; __Gemmatimonadetes; __Gemmatimonadales; __Gemmatimonadaceae; __Roseisolibacter; __Roseisolibacter agri,Bacteria,__Gemmatimonadetes,__Gemmatimonadetes,__Gemmatimonadales,__Gemmatimonadaceae,__Roseisolibacter,__Roseisolibacter agri,1,1,NR_163645.1,NA,NA,1,2,1,6,3,1,3,0,1,4,0,1,0,1,3,0,0,0,0,0,0,0,0,0
denovo686,Bacteria; __Acidobacteria; __Acidobacteriia; __Bryobacterales; __Bryobacteraceae; __Paludibaculum; __Paludibaculum fermentans,Bacteria,__Acidobacteria,__Acidobacteriia,__Bryobacterales,__Bryobacteraceae,__Paludibaculum,__Paludibaculum fermentans,1,1,NR_134120.1,NA,NA,3,6,2,2,6,0,3,1,2,2,3,4,2,5,2,0,0,0,0,0,0,0,0,0
denovo687,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Roseomonas; __Roseomonas fluminis,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhodospirillales,__Acetobacteraceae,__Roseomonas,__Roseomonas fluminis,1,1,NR_159916.1,NA,NA,5,6,3,5,8,2,2,6,1,7,9,9,9,6,3,0,0,0,0,0,0,0,0,0
denovo688,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,1,1,3,1,2,2,0,2,1,4,2,3,1,3,0,0,0,0,0,0,0,0,0
denovo689,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Cellvibrionales; __Halieaceae; __Haliea; __Haliea atlantica,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Cellvibrionales,__Halieaceae,__Haliea,__Haliea atlantica,1,1,NR_137377.1,NA,NA,3,3,6,4,5,6,3,3,8,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0
denovo690,Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __Anaeromyxobacteraceae; __Anaeromyxobacter; __Anaeromyxobacter dehalogenans,Bacteria,__Proteobacteria,__Deltaproteobacteria,__Myxococcales,__Anaeromyxobacteraceae,__Anaeromyxobacter,__Anaeromyxobacter dehalogenans,1,1,NR_074927.1,NA,NA,4,3,0,0,1,0,2,0,2,1,0,6,2,2,1,0,0,0,0,0,0,0,0,0
denovo691,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Ornatilinea; __Ornatilinea apprima,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Ornatilinea,__Ornatilinea apprima,1,1,NR_109544.1,NA,NA,2,2,0,0,1,3,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
denovo692,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Thermoactinomycetaceae; __Polycladomyces; __Polycladomyces subterraneus,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Thermoactinomycetaceae,__Polycladomyces,__Polycladomyces subterraneus,1,1,NR_158012.1,NA,NA,3,6,0,3,5,4,2,3,4,1,3,0,6,5,0,0,0,0,0,0,0,0,0,0
denovo693,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermanaerothrix; __Thermanaerothrix daxensis,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermanaerothrix,__Thermanaerothrix daxensis,1,1,NR_117865.1,NA,NA,3,3,3,2,1,2,1,6,2,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0
denovo694,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,4,1,2,0,0,2,1,0,3,2,0,3,5,1,2,0,0,0,0,0,0,0,0,0
denovo695,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,10,11,12,6,4,2,2,1,4,1,0,6,6,5,0,0,0,0,0,0,0,0,0,0
denovo696,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,0,2,4,1,2,1,2,7,4,3,0,2,1,4,0,0,0,0,0,0,0,0,0
denovo697,Bacteria; __Acidobacteria; __Acidobacteriia; __Acidobacteriales; __Acidobacteriaceae; __Occallatibacter; __Occallatibacter savannae,Bacteria,__Acidobacteria,__Acidobacteriia,__Acidobacteriales,__Acidobacteriaceae,__Occallatibacter,__Occallatibacter savannae,1,1,NR_147737.1,NA,NA,0,2,3,1,8,3,1,1,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0
